ADESPEC ADESIVOS ESPECIAIS S.A.;ADESPEC;04.568.840/0001-06;RUA;HUMBERTO I;236;CJ 81/82;VILA MARIANA;SÃO PAULO;SP;BRASIL;(11) 2166-3535;camila.malafaia@saint-gobain.com;CAMILA MALAFAIA;04018-030;2017-08-08 14:57:26.000;NULL
ADEVIBASE - ASSOCIAÇÃO DE DISTRIBUIDORES, PROCESSADORES E EMPRESAS DE VIDROS PLANOS DA BAHIA E SERGIPE;ADEVIBASE;13.936.865/0001-06;AVENIDA;BARROS REIS;630 B;EM FRENTE A LEO MADEIRA;PAU MIÚDO;SALVADOR;BA;BRASIL;(71) 3018-4545;roberto@vcgferragens.com.br;ROBERTO BASTOS;40310-010;NULL;" "
AGAEFE ESQUADRIAS DE ALUMÍNIO;AGAEFE;00.984.617/0001-99;RUA;OLARIO DE OLIVEIRA FRANÇA;535;CASA 14;VILA NASSER;CAMPO GRANDE;MS;BRASIL;(67) 3342-1526;cleber.agaefe@gmail.com;CLEBER HENN;79117-475;2022-09-12 17:07:29.693;NULL
AGC - VIDROS DO BRASIL LTDA;AGC VIDROS DO BRASIL;13.198.370/0001-27;ESTRADA;MUNICIPAL DR. JAIME EDUARDO RIBEIRO PEREIRA;500;;JARDIM VISTA ALEGRE;GUARATINGUETÁ;SP;BRASIL;(12) 3127-7100;thiago.malvezzi@agc.com;THIAGO MALVEZZI;12523-671;2024-10-01 16:39:49.287;" "
"AGC VIDROS DO BRASIL LTDA.                           ";AGC BRASIL AUTOMOTIVO;13.198.370/0004-70;AVENIDA;ENGENHEIRO DARCY NOGUEIRA DO PINHO;3201;;"VILA CRISTINA                 ";"MG - BETIM                    ";MG;BRASIL;;;"DIRETORIA                                            ";32675-515;NULL;NULL
AGMAQ EQUIPAMENTOS E MONTAGENS INDUSTRIAIS LTDA;AGMAQ;58.764.556/0001-34;AVENIDA;LUIZ MAGGIONI;1785;;DIST. EMP. PREF. LUIZ ROBERTO JÁBALI;RIBEIRÃO PRETO;SP;BRASIL;(16) 3626-7766;financeiro@agmaq.com.br;FERNANDA PEREIRA;14072-055;2024-06-12 23:55:36.553;NULL
AGPAR SA;"AGPAR ";NULL;NULL;"HERNANDARIAS 731 ";NULL;NULL;NULL;ASUNCION;NULL;PARAGUAY;(+ 595 21) 238 2020;mnunes@abravidro.org.br;NULL;000000000;NULL;NULL
AGPAR SA;AGPAR SA GRUPO TURRINI;NULL;NULL;HERNANDARIAS 731;NULL;NULL;NULL;ASUNCION;NULL;PARAGUAI;+595212382020;bruno@agparsa.com.py;NULL;0000;2015-06-30 18:58:00.133;NULL
AGUSTINI MATEUS DO ABC IND. E COM. DE VIDROS LTDA;ABC TEMPER;27.208.273/0001-82;RUA;PINDORAMA,;629;;VILA JORDANÓPOLIS;SÃO BERNARDO DO CAMPO;SP;BRASIL;(11) 4178-2377;producao@abctemper.com.br;RAFAEL MATEUS;09892-120;2024-10-16 11:47:06.540;" "
AL IND. COM. IMP E EXP. DE ACESSÓRIOS PARA VIDRO, ALUMÍNIO E MATERIAIS DE CONSTRUÇÃO LTDA - EPP;"AL INDÚSTRIA ";09.406.784/0001-27;RUA;JOÃO ALETTO;224/B;;VILA MERCEDES;MAUÁ;SP;BRASIL;(11) 2137-7300;max@alindustria.com.br;'MAX PIRES DEL OLMO FILHO;09361-420;2024-06-25 18:31:36.387;NULL
ALAGOAS VIDROS TEMPERADOS LTDA;ALAGOAS VIDROS;NULL;AVENIDA;MENINO MARCELO;9100;B;BARRO DURO;MACEIÓ;AL;BRASIL;(82) 3327-9402;sottoni@ig.com.br;SERGIO OTTONI;57083-410;NULL;NULL
ALAGOAS VIDROS TEMPERADOS LTDA;ALAGOAS VIDROS;12.264.493/0001-56;RUA;SORAIA DA SILVA MACIEL (CJ DENISSON MENE;403;;CIDADE UNIVERSITÁRIA;MACEIÓ;AL;BRASIL;(82) 3322-4242;sergio@alagoasvidros.com.br;SERGIO;57073-630;2017-10-04 17:11:02.080;NULL
ALCLEAN EXTRUSÃO DE METAIS LTDA;ALCLEAN;00.131.991/0001-41;ESTRADA;ARAÇARIGUAMA,;2.000;.;AMBUITÁ;ITAPEVI;SP;BRASIL;(11) 4144-9090;rogerio.leite@alclean.com.br;ROGERIO;06695-560;NULL;NULL
ALFA PRESS REPORTAGEM LTDA EPP;PALESTRANTE;03.630.569/0001-29;RUA;MINISTRO GABRIEL DE REZENDE PASSOS;300;.;MOEMA;SÃO PAULO;SP;BRASIL;(11) 3873-9908;carmen@zumbrazil.com.br;CARMEN LIPPI;11320-060;2019-09-04 17:50:14.847;NULL
ALPEX ALUMINIO S.A.;ALPEX ALUMÍNIO S.A.;68.100.064/0001-06;RUA;ALCIDES LOURENÇO DA ROCHA;15;CONJUNTO 42;BROOKLIN;SÃO PAULO;SP;BRASIL;(11) 2215-8844;paulo.bolzoni@alpex.com.br;PAULO BOLZONI;04220-020;2019-03-11 11:51:01.817;NULL
ALTERNATIVA COMÉRCIO DE VIDROS LTDA;ALTERNATIVA VIDROS;05.229.627/0001-32;AVENIDA;AMAZONAS;8868;;GAMELEIRA;BELO HORIZONTE;MG;BRASIL;(31) 3362-3399;ivanir100@gmail.com;IVANIR SOUZA;30510-000;2024-09-24 14:41:29.587;S
ALU-SERVICE INDUSTRIA E COMERCIO LTDA;" SCREENLINE";74.382.995/0001-39;AVENIDA;GONÇALO MADEIRA;329;.;JAGUARÉ;SÃO PAULO;SP;BRASIL;(11) 2197-1400;roberto@eurocentro.com.br;" ROBERTO ";05348-000;2024-10-04 17:07:14.867;" "
ALUMINATEC ALUMINIO INDUSTRIA E COMERCIO LTDA;ALUMITEC;72.831.217/0001-54;AVENIDA;PRESIDENTE WILSON;5514;.;VILA INDEPENDÊNCIA;SÃO PAULO;SP;BRASIL;(11) 2272-5277;ivone@alumitec.com.br;IVONEIDE FREGATTI MAIA;04220-001;2024-06-28 14:43:50.763;" "
"ALVORADA TEMPER INDUSTRIA E COMERCIO DE VIDROS EIR   ";ALVORADA TEMPER;40.243.943/0001-60;AVENIDA;PRESIDENTE TANCREDO NEVES;3814;;"PAQUETÁ                       ";"MG - BELO HORIZONTE           ";MG;BRASIL;31- 3654-7862;pabloandrecosta@gmail.com;PABLO ANDRÉ COSTA;31330-472;NULL;NULL
AMARAL VIDROS INDUSTRIA E COMERCIO LTDA;UAMARAL VIDROS;36.411.843/0001-28;RUA;PIRAJU;381;LOTE L 11 B 08;ACUHY;SERRA;ES;BRASIL;(27) 2141-2840;comercial@gruporvvidros.com.br;UELIITON AMARAL DE ARAUJO;29161-242;2022-11-14 19:06:13.953;" "
AMAZON CARIRI INDUSTRIA E COM. DE VIDROS LTDA EPP;AMAZON TEMPER CARIRI;21.910.311/0001-68;AV.;PADRE CÍCERO,;2900;;MURITI;CRATO;CE;BRASIL;88-3523-4439;cariri@amazontemper.ind.br;PATRICIA;63132-022;NULL;" "
AMAZON TEMPER COMERCIO DE VIDROS EIRELI;AMAZON TEMPER - BA;18.236.196/0001-83;AV.;BARROS REIS,;S/N;;FAZENDA GRANDE DO RETIRO;SALVADOR;BA;BRASIL;71-3032-9150;amazontemper.ssa@amazontemper.com;JOHNY MARCOS SPREUWE;40353-100;NULL;" "
AMAZON TEMPER IND COM E SERV LTDA;AMAZON TEMPER - AM;05.744.189/0001-40;AV.;BURITI,;2755;;DT IND I;MANAUS;AM;BRASIL;92-3611-2832;amazon_temper@hotmail.com;JOANE SABRINA CERDEI;69075-000;NULL;" "
AMAZON TEMPER IND. E COM. DE VIDROS TEMPERADOS LTDA;;09.177.724/0001-80;ROD.;BR 116 KM 23;S/N;CAIXA POSTAL 64;CAMARÁ;AQUIRÁZ;CE;;;;;61700000;NULL;" "
AMAZON TEMPER INDÚSTRIA COMERCIO DE SERVIÇOS LTDA;AMAZON TEMPER - SC;05.744.189/0002-21;ROD.;BR 282,;S/N;;INTERIOR;XANXERE;SC;BRASIL;49-3433-7594;rh@amazontempersc.com.br;JOHNY MARCOS SPREUWE;89820-000;NULL;NULL
AMAZON TEMPER INDUSTRIA DE VIDROS TEMPERADOS LTDA;AMAZON TEMPER - MT;12.458.237/0001-08;ESTRA.;ANEL VIARIO,;159-N;;TESCHE;LUCAS DO RIO VERDE;MT;BRASIL;65-3549-0216;amazontemperlucas@gmail.com;LUIS EUGENIO BANTLE;78455-000;NULL;" "
AMAZON TEMPER RECIFE, INDUSTRIA E COMERCIO DE VIDR;AMAZON TEMPER RECIFE;22.663.305/0001-16;RUA.;MATA GRANDE,;3000;;PRAZERES;JABOATAO DOS GUARARAPES;PE;BRASIL;81-3341-7971;natalifarias@amazontemper.ind.br;JACKSON LUIZ FLORINT;54340-002;NULL;NULL
AMAZONIA INDUSTRIA E COMÉRCIO DE VIDROS LTDA;AMAZONIA TEMPER;63.859.441/0001-63;RUA;DONA ANA;50;NULL;CENTRO;ANANINDEUA;PA;BRASIL;(91) 3235-5707;lpb@.produtos@bol.com.br;LEANDRO PEREIRA BARBOSA;67040-690;NULL;NULL
AMERICANBOX - NOVA VIDRO INDÚSTRIA E COMÉRCIO LTDA;AMERICANBOX;17.020.350/0001-12;ESTRADA;YAE MASSUMOTO,;333;;COOPERATIVA;SÃO BERNARDO DO CAMPO;SP;BRASIL;(11) 4393-6500;wagner.gerone@americanbox.com.br;WAGNER GERONE;09842-160;NULL;NULL
AMVID - ASSOCIAÇÃO MINEIRA DO COMÉRCIO ATACADISTA, VAREJISTA E DOS BENEFICIADORES DO VIDRO;AMVID;01.793.969/0001-20;RUA;BERNARDO GUIMARÃES;63;4º ANDAR;FUNCIONÁRIOS;BELO HORIZONTE;MG;BRASIL;(31) 2551-4447;alessandra.relacionamento@amvid.com.br;ALESSANDRA RODRIGUES;30140-080;2022-09-21 20:00:16.840;" "
ANA PAULA NOGUEIRA BREVILATO CAMARA;CENTRAL DO VIDRACEIRO;26.729.516/0001-65;AVENIDA;NILO PEÇANHA;1172;SOBRELOJA;PQUE. LAFAIETE;DUQUE DE CAXIAS;RJ;BRASIL;(21) 2757-9459;anapaula@centraldovidraceiro.com.br;ANA PAULA;25025-000;2022-08-17 16:33:33.173;NULL
ANDRADE E MARTINUZZO LTDA;"ANDRADE E MARTINUZZO ";00.243.963/0001-16;AVENIDA;AV.PRES.GETULIO VARGAS;4338;;STA RITA;TEIXEIRA DE FREITAS;BA;BRASIL;(73) 3291-1509;albertomartinuzzo@gmail.com;ALBERTOMARTINUZZO;69796-831;NULL;NULL
ANGELO VIDROS LTDA ME;ANGELO VIDROS;13.998.557/0001-05;RUA;CAMPINAS;201;;CENTRO;JABOTICABAL;SP;BRASIL;(16) 9719-2600;angelovidros@yahoo.com.br;ANGELO RICARDO PEREIRA;14870-390;NULL;NULL
ANGGULO COMUNICAÇÃO ESTRATÉGICA LTDA;ANGGULO COMUNICAÇÃO;06.912.116/0001-83;RUA;SOARES DE FARIA;39;;JABAQUARA;SÃO PAULO;SP;BRASIL;(11) 5031-2707;adriano@anggulo.com.br;ADRIANO PEGORELLI;04343-100;2015-07-27 10:26:52.987;NULL
ANTONIO RINALDO DE CARVALHO NASCIMENTO ME;"DW ACESSÓRIOS ";12.077.175/0001-86;AVENIDA;PADRE NESTOR SAMPAIO;530;;LAGOA SECA;JUAZEIRO DO NORTE;CE;BRASIL;(88) 3571-3277;rinaldo.dwa@hotmail.com;RINALDO / FERNANDO;63040-695;2015-07-19 11:01:29.063;NULL
ARBAX INDÚSTRIA E COMÉRCIO LTDA ME;ARBAX;48.739.924/0001-30;RUA;CAMPO LARGO;1102;;VILA BERTIOGA;SÃO PAULO;SP;BRASIL;(11) 2965-9110;gerencia@arbax.com.br;FELIPE DIAS;03186-010;2024-10-30 08:42:55.667;NULL
ART VIDROS INDUSTRIA E COMERCIO LTDA - EPP;ART VIDROS;05.129.413/0001-94;RUA;ROD SC 443, KM 17770;S/N;;GAZIELA;FUMAÇA;SC;BRASIL;48-3434-6900;pedrinho@artvidrosmf.com.br;ROBERTO SILVA;88830-000;NULL;" "
ARTEMPER INDÚSTRIA E COMÉRCIO DE VIDROS LTDA;;03.956.636/0001-08;R.;DOMICIANO LEITE DE ASSIS,;131;;DISTRITO INDUSTRIAL ADIB. RASSI;JARDINÓPOLIS;SP;;;;;14680000;NULL;NULL
ASCEVI - ASSOCIAÇÃO CATARINENSE DAS EMPRESAS VIDREIRAS;ASCEVI;06.958.752/0001-46;RUA;THIAGO DA FONSECA,;44;.;CAPOEIRAS;FLORIANÓPOLIS;SC;BRASIL;(48) 3034-6516;contato@ascevi.com.br;JOANA SANTOS;88085-100;2024-09-09 10:49:56.453;" "
ASOCIACIÓN GREMIAL CHILENA DEL VIDRIO, ALUMINIO Y PVC - ACHIVAL;ACHIVAL;NULL;NULL;JORGE HIRMAS 2560, RENCA;NULL;NULL;NULL;SANTIAGO;NULL;CHILE;2669 5401;gsilvalavin@gmail.com;NULL;00000;NULL;NULL
ASSOCIAÇÃO BRASILEIRA DAS INDÚSTRIAS DE VIDRO - ABIVIDRO;ABIVIDRO;62.005.954/0001-44;AVENIDA;ANGÉLICA;2491;CJ.162;CONSOLAÇÃO;SÃO PAULO;SP;BRASIL;(11) 3255-3363;secretaria@abividro.org.br;GABRIELA;01227-200;2024-09-13 14:03:30.057;" "
ATENUA SOM IND E COM LTDA;ATENUA SOM;68.928.498/0001-90;AVENIDA;IBIRAPUERA;3458;;MOEMA;SÃO PAULO;SP;BRASIL;(11) 2117-2999;edison@atenuasom.com.br;EDISON CLARO DE MORAES;04028-003;2024-09-19 11:16:45.383;NULL
AUTÊNTICA COMÉRCIO DE VIDROS E ESPELHOS LTDA;AUTÊNTICA VIDROS;17.110.159/0001-61;AVENIDA;AMAZONAS;5433;LOJA 2;CACHOEIRA;BETIM;MG;BRASIL;(31) 3594-4161;autenticavidros@hotmail.com;LAENE MENDES;32602-770;NULL;NULL
AUTO VIDROS LONDRINA LTDA;VIDROS LONDRINA;49.436.793/0001-85;AVENIDA;"AV ANTONIO EMMERICH ";1006;;VILA SAO JORGE;SÃO VICENTE;SP;BRASIL;(13) 3304-8252;klhomem@hotmail.com;KELLY;11370-000;2019-03-17 23:46:53.793;NULL
AVANTGLASS IND. E COM. DE MÁQUINAS E ACESSÓRIOS;AVANT GLASS;17.678.709/0001-43;AVENIDA;ELDORADO;152;CASA GRANDE;CASA GRANDE;DIADEMA;SP;BRASIL;(11) 2381-3747;francisco.moura@avantglass.com.br;FRANCISCO MOURA;09961-470;2022-11-04 16:04:21.567;NULL
AVEC VERRE DESIGN PRODUTOS ESPECIAIS LTDA;AVEC DESIGN;00.318.320/0001-94;TRAVESSA;ARAPUÃ;306;;JARDIM OCARA;SANTO ANDRÉ;SP;BRASIL;(11) 4422-4722;jgaceto@avec.com.br;JOSÉ GUILHERME ACETO;09051-030;2019-10-04 14:59:53.993;NULL
AVIGO - ASSOCIAÇÃO DAS EMPRESAS VIDREIRAS DE GOIÁS;;16.691.894/0001-43;R.;C 159;983;SALA 01;JD. AMÉRICA;GOIÂNIA;GO;;;;;74255140;NULL;" "
AVIMS - ASSOCIAÇÃO DOS VIDREIROS DE MATO GROSSO DO SUL;AVIMS;11.200.718/0001-48;RUA;ESTEVÃO CAPRIATA;417;;VILA PROGRESSO;CAMPO GRANDE;MS;BRASIL;(67) 3028-4661;ricardo@sfvidracaria.com.br;RICARDO;79050-440;2017-11-01 12:29:10.993;" "
B5S VIDROS S.A.;STAR TEMPER;30.123.025/0001-43;RUA;DOMINGOS BIANCARDI,;2-190;;DISTRITO INDUSTRIAL DOMINGOS B;BAURU;SP;BRASIL;(14) 3878-2600;adm@startemp.com.br;VÍCTOR VILLAS CASACA;17034-420;2024-09-20 15:48:16.637;" "
BAHIA EVENTOS LTDA;BAHIA EVENTOS;33.995.184/0001-26;RUA;PROFESSOR ARISTIDES NOVIS;123;.;FEDERAÇÃO;SALVADOR;BA;BRASIL;(71) 3203-1210;tania.marques@redebahia.com.br;TANIA MARQUES;40210-630;2024-09-06 15:03:17.090;NULL
BAHIA VIDROS;SDFSDF;NULL;NULL;SDFSDF;NULL;NULL;NULL;SDFSDFSDFSDF;NULL;DSFSDFDSF;sdfsd3312332132;sdfsd@sda.com;NULL;DSFFSDF;NULL;NULL
BAHIA VIDROS TEMPERADOS - INDÚSTRIA BAIANA DE VIDROS LTDA;BAHIA VIDROS;10.879.024/0001-16;RODOVIA;BR 101,;KM 263 - CAIXA POSTAL 54;.;AMPARO;SANTO ANTONIO DE JESUS;BA;BRASIL;(75) 3311-3000;rogerio@bahiavidros.com.br;ROGÉRIO EDUARDO FERREIRA DE OLIVEIRA;44571-670;2024-09-18 17:59:49.757;" "
BASALTO IND. E COM. DE VIDROS LTDA.;BASALTO VIDROS;12.126.312/0001-25;AVENIDA;PIONEIRO MAURÍCIO MARIANI;954;PQ. INDUSTRIAL HANNOVER;JARDIM ITAIPU;MARINGÁ;PR;BRASIL;(44) 3265-1112;jaimedepaulabasalto@hotmail.com;JAIME DE PAULA PEICHER;87065-510;2019-06-03 20:50:10.480;S
BAVELLONI DO BRASIL COMERCIO DE MAQUINAS LTDA;BAVELLONI DO BRASIL;34.393.040/0001-62;RUA;JOSE VERSOLATO;111;SALA 2212;CENTRO;SAO BERNARDO DO CAMPO;SP;BRASIL;(11) 2374-3724;clissia.mancini@bavelloni.com;CLISSIA MANCINI;09750-730;2024-06-28 15:52:40.747;NULL
BEDISVA BENEFICIAMENTO E DISTRIBUIÇÃO DE VIDROS E ACESSÓRIOS LTDA;BEDISVA VIDROS TEMPERAD;07.456.119/0001-12;RUA;LURDES TONELLI BASSETO;239;NULL;DISTRITO INDUSTRIAL III;BOTUCATU;SP;BRASIL;(14) 3814-5303;financeiro@bedisva.com.br;FERNANDO ÉVOLA;18608-750;NULL;" "
BELGA DISTRIBUIDORA DE VIDROS LTDA;"BELGA VIDROS ";12.767.224/0001-02;RUA;ARARIPINA;288;279;SANTO AMARO;RECIFE;PE;BRASIL;(81) 3216-3000;josinaldo.galvao@hotmail.com;JOSINALDO GALVAO;50040-170;NULL;NULL
BELGA METAL PLASTICA INDUSTRIA E COMERCIO LTDA;BELGA METAL;57.910.226/0001-47;ESTRADA;SADAE TAKAGI;2190;;COOPERATIVA;SÃO BERNARDO DO CAMPO;SP;BRASIL;(11) 4393-2944;tayla.rh@belgametal.com.br;LAURENIL;09852-070;2015-10-27 09:06:14.537;NULL
BELLTEMPER INDÚSTRIA E COMÉRCIO DE VIDROS LTDA;BELL TEMPER;10.879.637/0001-53;RUA;GOIÁS;2720;.;IPIRANGA;DIVINÓPOLIS;MG;BRASIL;(37) 3222-2100;eduardo@belltemper.com.br;EDUARDO ALONSO FERREIRA SALES;35502-027;2015-06-03 09:02:44.000;NULL
BEND GLASS COMÉRCIO E INDÚSTRIA LTDA;BEND GLASS;00.785.010/0001-80;RUA;DESEMBARGADOR AMORIM;88;;JARDIM INDUSTRIAL;CONTAGEM;MG;BRASIL;(31) 3361-5599;financeiro@bendglass.com.br;ODILON REINALDO;32215-330;2024-06-06 18:07:22.257;" "
BENTELER MASCHINENBAU GMBH;BENTELER;NULL;RUA;TEODORO BARNABÉ;589;NULL;TERRAS DE ITAICI;INDAIATUBA;SÃO PAULO;BRASIL;(19) 3894-8631;frankja@uol.com.br;NULL;13341-480;NULL;NULL
BENTELER MASCHINENBAU GMBH;BENTELER;NULL;"RUA ";TEODORO BARNABÉ;589;NULL;TERRAS DE ITAICI;INDAIATUBA;SÃO PAULO;BRASIL;(19) 3894-8631;frankja@uol.com.br;NULL;13341-480;NULL;NULL
BENTELER MASCHINENBAU GMBH;BENTELER;NULL;NULL;RUA TEODORO BARNABÉ, 589;NULL;NULL;NULL;INDAIATUBA;SP;BRASIL;19 38948631;frankja@uol.com.br;NULL;13341480;2015-10-20 08:57:02.963;NULL
BENTELER MASCHINENBAU GMBH;BENTELER;6;NULL;FRACHTSTRASSE;NULL;NULL;NULL;BIELEFELD;NULL;ALEMANHA;+1 713 335 6156;adriano.bifulco@benteler.com;NULL;00033-602;2019-09-12 13:10:34.560;NULL
BENTELER MASCHINENBAU GMBH;BENTELER;4;NULL;FRACHTSTRASSE, 10-16;NULL;NULL;NULL;BIELEFELD;NULL;ALEMANHA;49-521-542-227;andreas.koehler@benteler.com;NULL;33602;2017-08-23 10:40:09.690;NULL
BIESSE BRASIL COMERCIO E INDUSTRIA DE MAQUINAS E E;BIESSE;19.541.628/0002-03;RUA;AUGUSTO DIAS PAREDES;710;.;BOQUEIRÃO;CURITIBA;PR;BRASIL;(11) 9912-9150;ricardo.mello@biesse.com;RICARDO MELLO;81730-100;2024-07-17 15:04:13.973;" "
BIESSE SPA INTERMAC GLASS & STONE DIVISION;"INTERMAC ";NULL;NULL;VIA DELLA MECCANICA;NULL;NULL;NULL;PESARO;NULL;ITÁLIA;1128474769;sandro.marchetti@intermac.com;NULL;61122;NULL;NULL
BIESSE SPA INTERMAC GLASS & STONE DIVISION;INTERMAC;NULL;NULL;VIA DELLA MECCANICA;NULL;NULL;NULL;PESARO;NULL;ITÁLIA;11-2847-4769;vincenzo.pruscini@intermac.com;NULL;61122;NULL;NULL
BING & REIS LTDA.;GENERAL GLASSES;93.030.070/0001-73;RUA;FELIPE NERI;447;CJ 501 E 502;AUXILIADORA;PORTO ALEGRE;RS;BRASIL;(51) 3388-7080;regis@bingreis.com.br;REGIS BING REIS;90440-150;2019-03-23 13:54:35.470;NULL
BISEL VIDROS LTDA;BISEL VIDROS;03.979.137/0001-28;RUA;MARIANA;1437;;BONFIM;BELO HORIZONTE;MG;BRASIL;3130730500;mgramiscelli@hotmail.com;MARCELA GRAMISCELLI LATORRE;31210420;NULL;NULL
"BISOVEL VIDROS E ESPELHOS LTDA                       ";BISOVEL VIDROS E ESP;72.786.650/0001-15;RUA;MARTIM AFONSO;123;;"BELENZINHO                    ";"SP - SÃO PAULO                ";SP;BRASIL;11-2291-0611;BISOVEL@UOL.COM.BR;"PAULO FUKUJU SATO                                    ";03057-050;NULL;S
BL GLASS COMÉRCIO E ACESSÓRIOS PARA VIDROS LTDA;BL GLASS;27.105.516/0001-57;RUA;JACIRA ROCHA;64;;CASA VERDE MÉDIA;SÃO PAULO;SP;BRASIL;(11) 2371-5173;brasielacarvalho@blglass.com.br;BRASIELA;02521-010;2017-08-23 13:28:55.640;NULL
BLUE GLASS COMÉRCIO DE VIDROS LTDA;BLUE GLASS;06.045.130/0001-27;RUA;ARNALDO VOSGERAU;620;;QUISSISSANA;SÃO JOSE DOS PINHAIS;PR;BRASIL;(41) 3020-8400;denise@blueglass.com.br;DENISE;83085-057;NULL;NULL
BLUE HOUSE COMERCIO DE VIDROS E REF LTDA;BLUE HOUSE;05.818.768/0001-90;QUADRA;SCIA QUADRA 11 CONJUNTO 01 LOTE 05;05;PRÓXIMO AO DEPOSITO DA AC COELHO;ZONA INDUSTRIAL (GUARÁ);GUARÁ;DF;BRASIL;(61) 3363-8389;cristalvidrosdf@gmail.com;CLEAN MARQUES;70730-620;2023-08-08 18:07:13.000;S
BONNEVILLE VIDROS E CRISTAIS LTDA;BONNEVILLE VIDROS;02.080.184/0001-72;RUA;ALEXANDRE EDER;309;.;PQ INDUSTRIAL;EMBU GUAÇU;SP;BRASIL;(11) 2088-3637;renata@massfix.com.br;RENATA GUALTIERONI;06900-000;NULL;" "
BOTTERO DO BRASIL MAQUINAS PARA VIDRO LTDA;"BOTTERO ";01.547.193/0001-68;RUA;GEORG REXROTH;609;BLOCO F - CONJ.01;VILA PADRE ANCHIETA;DIADEMA;SP;BRASIL;(11) 4072-3031;natalia.ramos@botterodobrasil.com.br;NATALIA RAMOS;09951-270;2024-07-31 15:29:10.513;" "
BOX ELEGANCE LTDA - EPP;IDEIA GLASS;10.739.622/0001-90;RUA;TREZE DE MAIO;911;;BELA VISTA;SÃO PAULO;SP;BRASIL;(11) 3016-9300;financeiro@ideiaglass.com.br;FRANCISCA B. DE OLIVEIRA;01327-000;2024-07-01 17:16:14.497;" "
BRADESCO;BRADESCO;NULL;;;;;;;;BRASIL;;;;;NULL;NULL
BRANQUINHO & NUNES GARCIA, LDA;B&NG- PORTUGAL;NULL;NULL;R. FRANKLIM LAMAS 29 3ºE;NULL;NULL;NULL;CASCAIS;NULL;PORTUGAL;351 966007529 / 21 4581984;nunes.garcia@sapo.pt;NULL;"2750-351 ";NULL;NULL
BRAS TEMPER INDUSTRIA E COMERCIO DE VIDROS;"BRASTEMPER INDUSTRIA ";11.952.737/0001-20;RUA;PADRE PEDRO PINTO;2420;LOJA;VENDA NOVA;BELO HORIZONTE;MG;BRASIL;(31) 3458-9366;daniel@brastemper.com.br;DANIEL PEREIRA;31615-310;2015-06-30 17:48:50.133;NULL
